Number,Name,Difficulty,Link,Date Completed,List
1,Two Sum,Easy,https://leetcode.com/problems/two-sum/,,Grind75
3,Longest Substring Without Repeating Characters,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,Grind75
5,Longest Palindromic Substring,Medium,https://leetcode.com/problems/longest-palindromic-substring/,,Grind75
133,Clone Graph,Medium,https://leetcode.com/problems/clone-graph/,,Grind75
383,Ransom Note,Easy,https://leetcode.com/problems/ransom-note/,,Grind75
8,String to Integer (atoi),Medium,https://leetcode.com/problems/string-to-integer-atoi/,,Grind75
11,Container With Most Water,Medium,https://leetcode.com/problems/container-with-most-water/,,Grind75
139,Word Break,Medium,https://leetcode.com/problems/word-break/,,Grind75
141,Linked List Cycle,Easy,https://leetcode.com/problems/linked-list-cycle/,,Grind75
876,Middle of the Linked List,Easy,https://leetcode.com/problems/middle-of-the-linked-list/,,Grind75
15,3Sum,Medium,https://leetcode.com/problems/3sum/,,Grind75
994,Rotting Oranges,Medium,https://leetcode.com/problems/rotting-oranges/,,Grind75
17,Letter Combinations of a Phone Number,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,,Grind75
146,LRU Cache,Medium,https://leetcode.com/problems/lru-cache/,,Grind75
20,Valid Parentheses,Easy,https://leetcode.com/problems/valid-parentheses/,,Grind75
21,Merge Two Sorted Lists,Easy,https://leetcode.com/problems/merge-two-sorted-lists/,,Grind75
150,Evaluate Reverse Polish Notation,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation/,,Grind75
23,Merge k Sorted Lists,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,,Grind75
278,First Bad Version,Easy,https://leetcode.com/problems/first-bad-version/,,Grind75
409,Longest Palindrome,Easy,https://leetcode.com/problems/longest-palindrome/,,Grind75
704,Binary Search,Easy,https://leetcode.com/problems/binary-search/,,Grind75
155,Min Stack,Medium,https://leetcode.com/problems/min-stack/,,Grind75
981,Time Based Key-Value Store,Medium,https://leetcode.com/problems/time-based-key-value-store/,,Grind75
542,01 Matrix,Medium,https://leetcode.com/problems/01-matrix/,,Grind75
543,Diameter of Binary Tree,Easy,https://leetcode.com/problems/diameter-of-binary-tree/,,Grind75
416,Partition Equal Subset Sum,Medium,https://leetcode.com/problems/partition-equal-subset-sum/,,Grind75
33,Search in Rotated Sorted Array,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/,,Grind75
39,Combination Sum,Medium,https://leetcode.com/problems/combination-sum/,,Grind75
295,Find Median from Data Stream,Hard,https://leetcode.com/problems/find-median-from-data-stream/,,Grind75
169,Majority Element,Easy,https://leetcode.com/problems/majority-element/,,Grind75
42,Trapping Rain Water,Hard,https://leetcode.com/problems/trapping-rain-water/,,Grind75
297,Serialize and Deserialize Binary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,,Grind75
46,Permutations,Medium,https://leetcode.com/problems/permutations/,,Grind75
53,Maximum Subarray,Medium,https://leetcode.com/problems/maximum-subarray/,,Grind75
54,Spiral Matrix,Medium,https://leetcode.com/problems/spiral-matrix/,,Grind75
310,Minimum Height Trees,Medium,https://leetcode.com/problems/minimum-height-trees/,,Grind75
56,Merge Intervals,Medium,https://leetcode.com/problems/merge-intervals/,,Grind75
57,Insert Interval,Medium,https://leetcode.com/problems/insert-interval/,,Grind75
438,Find All Anagrams in a String,Medium,https://leetcode.com/problems/find-all-anagrams-in-a-string/,,Grind75
62,Unique Paths,Medium,https://leetcode.com/problems/unique-paths/,,Grind75
322,Coin Change,Medium,https://leetcode.com/problems/coin-change/,,Grind75
67,Add Binary,Easy,https://leetcode.com/problems/add-binary/,,Grind75
70,Climbing Stairs,Easy,https://leetcode.com/problems/climbing-stairs/,,Grind75
199,Binary Tree Right Side View,Medium,https://leetcode.com/problems/binary-tree-right-side-view/,,Grind75
200,Number of Islands,Medium,https://leetcode.com/problems/number-of-islands/,,Grind75
1235,Maximum Profit in Job Scheduling,Hard,https://leetcode.com/problems/maximum-profit-in-job-scheduling/,,Grind75
75,Sort Colors,Medium,https://leetcode.com/problems/sort-colors/,,Grind75
76,Minimum Window Substring,Hard,https://leetcode.com/problems/minimum-window-substring/,,Grind75
78,Subsets,Medium,https://leetcode.com/problems/subsets/,,Grind75
79,Word Search,Medium,https://leetcode.com/problems/word-search/,,Grind75
206,Reverse Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/,,Grind75
207,Course Schedule,Medium,https://leetcode.com/problems/course-schedule/,,Grind75
